average_utilization,elapsed_time(s),,,
33.45%,0.369,,,
33.45%,0.357,,,
27.61%,0.369,,,
28.01%,0.358,,,
31.24%,0.366,,,
31.84%,0.339,,,
33.45%,0.358,,,
33.45%,0.493,,,
31.24%,0.421,,,
27.61%,0.419,,,
25.60%,0.449,,,
33.45%,0.413,,,
25.60%,0.421,,,
28.94%,0.436,,,
33.13%,0.453,,,
25.60%,0.411,,,
28.01%,0.411,,,
33.45%,0.401,,,
33.45%,0.37,,,
26.48%,0.393,,,
28.94%,0.379,,,
31.24%,0.404,,,
33.45%,0.359,,,
26.48%,0.413,,,
22.47%,0.419,,,
30.44%,0.426,,,
31.24%,0.399,,,
33.45%,0.367,,,
33.45%,0.366,,,
30.44%,0.428,,,
22.47%,0.454,,,
31.24%,0.365,,,
31.24%,0.379,,,
33.45%,0.359,,,
33.13%,0.408,,,
33.45%,0.35,,,
31.24%,0.348,,,
33.45%,0.343,,,
28.01%,0.369,,,
31.24%,0.387,,,
26.33%,0.414,,,
33.45%,0.374,,,
33.45%,0.353,,,
33.45%,0.354,,,
31.24%,0.454,,,
31.24%,0.413,,,
33.45%,0.378,,,
31.24%,0.373,,,
23.85%,0.38,,,
31.24%,0.35,,,
31.24%,0.364,,,
25.60%,0.423,,,
33.45%,0.35,,,
25.60%,0.362,,,
31.84%,0.345,,,
31.84%,0.351,,,
31.24%,0.381,,,
30.44%,0.434,,,
30.44%,0.398,,,
26.35%,0.385,,,
31.24%,0.353,,,
31.24%,0.379,,,
31.24%,0.367,,,
33.45%,0.337,,,
30.44%,0.371,,,
28.01%,0.359,,,
31.24%,0.376,,,
33.70%,0.366,,,
25.60%,0.43,,,
31.24%,0.384,,,
31.24%,0.381,,,
33.45%,0.384,,,
33.45%,0.397,,,
30.44%,0.377,,,
27.61%,0.381,,,
23.85%,0.398,,,
28.01%,0.394,,,
31.24%,0.371,,,
26.48%,0.402,,,
32.37%,0.339,,,
33.13%,0.379,,,
33.45%,0.356,,,
33.45%,0.375,,,
33.45%,0.363,,,
25.60%,0.405,,,
30.44%,0.386,,,
25.60%,0.444,,,
33.45%,0.372,,,
22.47%,0.364,,,
25.60%,0.37,,,
31.24%,0.367,,,
26.48%,0.391,,,
26.48%,0.381,,,
33.45%,0.343,,,
33.45%,0.342,,,
28.94%,0.344,,,
23.85%,0.423,,,
31.24%,0.373,,,
30.29%,0.393,,,
31.84%,0.342,,,
30.44%,0.386,,,
31.24%,0.356,,,
27.61%,0.366,,,
31.24%,0.35,,,
33.45%,0.329,,,
33.45%,0.353,,,
31.24%,0.361,,,
31.24%,0.371,,,
30.44%,0.368,,,
26.33%,0.37,,,
28.94%,0.36,,,
33.13%,0.357,,,
27.61%,0.422,,,
25.80%,0.407,,,
31.24%,0.397,,,
31.24%,0.382,,,
25.60%,0.433,,,
27.61%,0.381,,,
22.47%,0.447,,,
32.37%,0.359,,,
30.44%,0.348,,,
31.24%,0.36,,,
33.45%,0.336,,,
31.24%,0.364,,,
31.24%,0.36,,,
31.24%,0.364,,,
33.45%,0.338,,,
25.60%,0.37,,,
33.45%,0.382,,,
31.84%,0.37,,,
33.45%,0.388,,,
28.01%,0.385,,,
31.24%,0.364,,,
30.44%,0.387,,,
33.13%,0.37,,,
33.45%,0.343,,,
31.24%,0.385,,,
31.24%,0.372,,,
31.24%,0.361,,,
31.24%,0.36,,,
33.13%,0.374,,,
31.24%,0.386,,,
25.60%,0.355,,,
31.24%,0.374,,,
26.35%,0.394,,,
30.44%,0.374,,,
31.24%,0.387,,,
25.60%,0.441,,,
33.45%,0.372,,,
33.45%,0.368,,,
33.45%,0.373,,,
22.47%,0.437,,,
33.45%,0.365,,,
33.45%,0.386,,,
23.85%,0.392,,,
28.94%,0.344,,,
31.24%,0.375,,,
31.24%,0.354,,,
28.94%,0.387,,,
33.45%,0.381,,,
31.24%,0.396,,,
33.13%,0.383,,,
31.24%,0.388,,,
30.44%,0.387,,,
31.24%,0.36,,,
31.24%,0.348,,,
31.24%,0.35,,,
22.47%,0.362,,,
29.28%,0.364,,,
31.24%,0.35,,,
31.24%,0.368,,,
33.45%,0.334,,,
31.84%,0.339,,,
28.01%,0.369,,,
28.94%,0.365,,,
33.13%,0.396,,,
28.94%,0.373,,,
31.24%,0.366,,,
27.61%,0.398,,,
25.60%,0.413,,,
33.45%,0.356,,,
33.45%,0.349,,,
31.84%,0.343,,,
33.45%,0.355,,,
33.45%,0.331,,,
25.60%,0.42,,,
25.60%,0.369,,,
30.44%,0.391,,,
33.13%,0.356,,,
33.45%,0.361,,,
30.44%,0.393,,,
27.61%,0.4,,,
30.10%,0.38,,,
28.94%,0.359,,,
33.45%,0.37,,,
23.85%,0.425,,,
31.84%,0.366,,,
22.47%,0.465,,,
30.44%,0.366,,,
28.01%,0.385,,,
31.24%,0.376,,,
25.60%,0.474,,,
31.24%,0.373,,,
33.45%,0.403,,,
27.61%,0.38,,,
26.48%,0.393,,,
26.33%,0.372,,,
33.45%,0.396,,,
33.13%,0.38,,,
25.60%,0.384,,,
22.47%,0.447,,,
23.85%,0.387,,,
33.13%,0.343,,,
28.01%,0.391,,,
33.45%,0.354,,,
23.85%,0.424,,,
31.24%,0.371,,,
26.48%,0.41,,,
33.45%,0.387,,,
28.01%,0.414,,,
30.49%,0.381,,,
31.24%,0.367,,,
31.24%,0.384,,,
27.61%,0.412,,,
31.24%,0.385,,,
25.11%,0.403,,,
33.45%,0.364,,,
23.85%,0.401,,,
31.84%,0.334,,,
26.48%,0.372,,,
31.24%,0.383,,,
33.13%,0.37,,,
33.45%,0.339,,,
25.60%,0.437,,,
31.24%,0.364,,,
28.94%,0.374,,,
31.24%,0.366,,,
33.45%,0.377,,,
33.45%,0.36,,,
26.48%,0.415,,,
26.33%,0.399,,,
33.45%,0.351,,,
30.44%,0.354,,,
33.45%,0.35,,,
33.45%,0.375,,,
25.19%,0.417,,,
31.24%,0.381,,,
33.45%,0.379,,,
33.13%,0.393,,,
25.60%,0.462,,,
31.24%,0.394,,,
30.44%,0.389,,,
31.24%,0.37,,,
33.45%,0.353,,,
27.61%,0.397,,,
25.60%,0.396,,,
26.48%,0.392,,,
25.60%,0.397,,,
22.47%,0.396,,,
33.45%,0.38,,,
33.13%,0.357,,,
31.24%,0.375,,,
27.61%,0.396,,,
25.60%,0.408,,,
25.60%,0.37,,,
31.24%,0.365,,,
25.80%,0.39,,,
26.48%,0.398,,,
31.24%,0.418,,,
31.84%,0.357,,,
33.45%,0.379,,,
22.47%,0.41,,,
31.24%,0.364,,,
25.60%,0.456,,,
23.85%,0.479,,,
33.45%,0.372,,,
30.44%,0.395,,,
25.60%,0.473,,,
33.45%,0.358,,,
33.45%,0.352,,,
23.85%,0.436,,,
30.44%,0.386,,,
27.61%,0.401,,,
26.48%,0.409,,,
28.01%,0.378,,,
29.34%,0.406,,,
27.61%,0.388,,,
31.84%,0.374,,,
25.60%,0.438,,,
28.01%,0.387,,,
27.61%,0.397,,,
33.45%,0.379,,,
23.85%,0.405,,,
22.47%,0.43,,,
31.24%,0.391,,,
27.61%,0.401,,,
33.45%,0.362,,,
27.61%,0.385,,,
30.44%,0.343,,,
33.45%,0.332,,,
31.24%,0.356,,,
31.24%,0.36,,,
33.13%,0.338,,,
25.60%,0.374,,,
33.45%,0.371,,,
25.60%,0.376,,,
31.90%,0.359,,,
28.01%,0.391,,,
33.45%,0.363,,,
23.85%,0.395,,,
31.24%,0.391,,,
31.84%,0.345,,,
27.61%,0.4,,,
33.13%,0.378,,,
33.45%,0.351,,,
33.13%,0.392,,,
28.01%,0.362,,,
33.13%,0.342,,,
33.13%,0.368,,,
22.12%,0.39,,,
30.44%,0.373,,,
26.35%,0.352,,,
22.47%,0.372,,,
25.04%,0.389,,,
28.01%,0.369,,,
30.44%,0.372,,,
26.35%,0.394,,,
31.31%,0.385,,,
31.24%,0.356,,,
28.94%,0.392,,,
28.94%,0.343,,,
25.60%,0.371,,,
31.84%,0.334,,,
33.45%,0.343,,,
31.24%,0.37,,,
33.13%,0.372,,,
27.15%,0.395,,,
31.24%,0.366,,,
27.61%,0.388,,,
31.84%,0.334,,,
28.94%,0.342,,,
31.84%,0.358,,,
33.45%,0.371,,,
26.48%,0.404,,,
31.24%,0.37,,,
33.45%,0.351,,,
30.44%,0.382,,,
33.45%,0.335,,,
28.01%,0.342,,,
31.84%,0.338,,,
31.24%,0.348,,,
33.45%,0.375,,,
31.24%,0.384,,,
22.47%,0.384,,,
28.01%,0.41,,,
30.44%,0.407,,,
25.60%,0.401,,,
28.01%,0.389,,,
32.90%,0.372,,,
26.48%,0.405,,,
28.49%,0.413,,,
31.24%,0.401,,,
33.45%,0.353,,,
28.01%,0.365,,,
30.44%,0.384,,,
28.01%,0.333,,,
33.45%,0.335,,,
31.24%,0.357,,,
33.45%,0.366,,,
33.45%,0.355,,,
22.12%,0.409,,,
33.13%,0.343,,,
31.84%,0.358,,,
25.60%,0.426,,,
30.44%,0.369,,,
30.24%,0.36,,,
33.13%,0.37,,,
31.24%,0.362,,,
31.24%,0.362,,,
28.01%,0.388,,,
30.44%,0.35,,,
26.48%,0.384,,,
33.45%,0.357,,,
28.01%,0.372,,,
33.13%,0.376,,,
30.44%,0.386,,,
33.45%,0.397,,,
31.24%,0.382,,,
33.45%,0.367,,,
33.45%,0.391,,,
28.94%,0.369,,,
30.44%,0.393,,,
25.60%,0.441,,,
33.45%,0.357,,,
31.24%,0.417,,,
22.47%,0.464,,,
31.24%,0.394,,,
28.94%,0.389,,,
31.24%,0.385,,,
23.85%,0.442,,,
32.90%,0.336,,,
31.24%,0.386,,,
33.13%,0.398,,,
26.35%,0.382,,,
28.94%,0.378,,,
31.24%,0.359,,,
33.45%,0.353,,,
31.24%,0.39,,,
23.39%,0.4,,,
33.45%,0.361,,,
28.94%,0.357,,,
30.44%,0.395,,,
28.01%,0.363,,,
31.24%,0.354,,,
33.13%,0.372,,,
31.24%,0.348,,,
28.94%,0.372,,,
27.27%,0.371,,,
30.44%,0.346,,,
33.45%,0.371,,,
30.44%,0.373,,,
33.45%,0.364,,,
33.45%,0.362,,,
22.12%,0.388,,,
31.24%,0.353,,,
31.24%,0.368,,,
23.85%,0.389,,,
25.60%,0.38,,,
26.89%,0.367,,,
33.45%,0.338,,,
25.60%,0.423,,,
31.84%,0.336,,,
33.45%,0.383,,,
25.60%,0.427,,,
33.13%,0.383,,,
31.84%,0.341,,,
31.24%,0.357,,,
31.24%,0.35,,,
33.45%,0.344,,,
33.45%,0.356,,,
31.24%,0.367,,,
33.45%,0.352,,,
33.45%,0.353,,,
31.24%,0.368,,,
26.48%,0.392,,,
31.24%,0.382,,,
33.13%,0.379,,,
32.90%,0.364,,,
22.47%,0.394,,,
28.94%,0.345,,,
28.94%,0.375,,,
30.44%,0.393,,,
28.94%,0.353,,,
33.45%,0.366,,,
27.61%,0.387,,,
26.48%,0.403,,,
31.84%,0.35,,,
31.84%,0.371,,,
33.13%,0.39,,,
27.61%,0.427,,,
30.44%,0.361,,,
31.84%,0.34,,,
28.94%,0.374,,,
31.24%,0.366,,,
33.45%,0.362,,,
31.24%,0.384,,,
25.60%,0.387,,,
22.47%,0.462,,,
33.45%,0.367,,,
25.60%,0.405,,,
31.84%,0.348,,,
33.45%,0.375,,,
33.13%,0.386,,,
22.47%,0.45,,,
31.24%,0.373,,,
25.60%,0.442,,,
31.24%,0.382,,,
30.44%,0.367,,,
23.85%,0.402,,,
33.45%,0.372,,,
25.60%,0.392,,,
33.45%,0.381,,,
27.61%,0.395,,,
31.24%,0.386,,,
23.85%,0.406,,,
28.01%,0.394,,,
31.24%,0.382,,,
33.45%,0.378,,,
25.60%,0.387,,,
22.47%,0.41,,,
30.30%,0.373,,,
26.35%,0.389,,,
31.24%,0.383,,,
31.24%,0.392,,,
28.94%,0.383,,,
33.45%,0.379,,,
30.44%,0.393,,,
27.61%,0.396,,,
22.47%,0.44,,,
30.44%,0.411,,,
33.45%,0.376,,,
31.24%,0.378,,,
23.85%,0.455,,,
33.45%,0.385,,,
30.44%,0.388,,,
25.60%,0.398,,,
31.84%,0.352,,,
,,,29.85%,0.39
